Issue #,Title,Sprint / Milestone,Area,Priority,Epic,Audit Status,GitHub URL
#1,"Set up NestJS monorepo with TypeScript, Docker, and CI/CD pipeline","Sprint 1: Foundation & Core Infrastructure","backend, infra",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/1
#2,"PostgreSQL schema migrations (TypeORM) — all core tables","Sprint 1: Foundation & Core Infrastructure","backend",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/2
#3,"Telegram initData JWT authentication middleware","Sprint 1: Foundation & Core Infrastructure","backend",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/3
#4,"Phaser 3 MainFarmScene — plot grid, crop sprites, and animation system","Sprint 1: Foundation & Core Infrastructure","frontend",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/4
#5,"React HUD, BottomBar, and EventBus integration layer","Sprint 1: Foundation & Core Infrastructure","frontend",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/5
#6,"Redis caching layer and rate limiting (Throttler)","Sprint 1: Foundation & Core Infrastructure","backend, infra",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/6
#7,"Energy regen system — 6-min tick, max cap, and regen timer UI","Sprint 1: Foundation & Core Infrastructure","backend, frontend",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/7
#8,"Plot upgrade system — unlock additional plots and upgrade yield multiplier","Sprint 1: Foundation & Core Infrastructure","backend, frontend",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/8
#9,"Wallet setup flow — auto-generate wallet or connect existing via WalletConnect","Sprint 1: Foundation & Core Infrastructure","backend, frontend",High,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/9
#10,"Weather system — daily conditions affecting crop yields","Sprint 1: Foundation & Core Infrastructure","backend, frontend",Medium,core-game,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/10
#11,"Friends bar — online friends panel with quick visit and steal status","Sprint 1: Foundation & Core Infrastructure","backend, frontend",Medium,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/11
#12,"Tutorial overlay — first-time user guide with interactive steps","Sprint 1: Foundation & Core Infrastructure","frontend",Medium,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/12
#13,"Level and XP system — trust score gating for seeds and features","Sprint 1: Foundation & Core Infrastructure","backend, frontend",Medium,-,Original,https://github.com/flappybirdweb3/bandit-buddy/issues/13
