Issue #,Title,Sprint / Milestone,Area,Priority,Epic,Status,GitHub URL
#1,"Set up NestJS monorepo with TypeScript, Docker, and CI/CD pipeline","Sprint 1: Foundation & Core Infrastructure","backend, infra",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/1
#2,"PostgreSQL schema migrations (TypeORM) — all core tables","Sprint 1: Foundation & Core Infrastructure","backend",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/2
#3,"Telegram initData JWT authentication middleware","Sprint 1: Foundation & Core Infrastructure","backend",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/3
#4,"Phaser 3 MainFarmScene — plot grid, crop sprites, and animation system","Sprint 1: Foundation & Core Infrastructure","frontend",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/4
#5,"React HUD, BottomBar, and EventBus integration layer","Sprint 1: Foundation & Core Infrastructure","frontend",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/5
#6,"Redis caching layer and rate limiting (Throttler)","Sprint 1: Foundation & Core Infrastructure","backend, infra",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/6
#32,"Energy regen system — 6-min tick, max cap, and regen timer UI","Sprint 1: Foundation & Core Infrastructure","backend, frontend",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/32
#33,"Plot upgrade system — unlock additional plots and upgrade yield multiplier","Sprint 1: Foundation & Core Infrastructure","backend, frontend",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/33
#40,"Wallet setup flow — auto-generate wallet or connect existing via WalletConnect","Sprint 1: Foundation & Core Infrastructure","backend, frontend",High,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/40
#35,"Weather system — daily conditions affecting crop yields","Sprint 1: Foundation & Core Infrastructure","backend, frontend",Medium,Core-game,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/35
#44,"Friends bar — online friends panel with quick visit and steal status","Sprint 1: Foundation & Core Infrastructure","backend, frontend",Medium,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/44
#45,"Tutorial overlay — first-time user guide with interactive steps","Sprint 1: Foundation & Core Infrastructure","frontend",Medium,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/45
#47,"Level and XP system — trust score → level gating for seeds and features","Sprint 1: Foundation & Core Infrastructure","backend, frontend",Medium,-,OPEN,https://github.com/dongprotocol/bandit-buddy/issues/47
